in s,C1 in V
-3.8854214E+00,5.37965E-01
-3.8850539E+00,5.45777E-01
-3.8846864E+00,5.39918E-01
-3.8843189E+00,5.27223E-01
-3.8839514E+00,5.09645E-01
-3.8835838E+00,5.01832E-01
-3.8832163E+00,5.07691E-01
-3.8828488E+00,5.18434E-01
-3.8824813E+00,5.30152E-01
-3.8821138E+00,5.42848E-01
-3.8817462E+00,5.40895E-01
-3.8813787E+00,5.30152E-01
-3.8810112E+00,5.16480E-01
-3.8806437E+00,5.05738E-01
-3.8802762E+00,5.02809E-01
-3.8799086E+00,5.12574E-01
-3.8795411E+00,5.24293E-01
-3.8791736E+00,5.36012E-01
-3.8788061E+00,5.43824E-01
-3.8784386E+00,5.42848E-01
-3.8780710E+00,5.31129E-01
-3.8777035E+00,5.15504E-01
-3.8773360E+00,5.06715E-01
-3.8769685E+00,5.06715E-01
-3.8766010E+00,5.17457E-01
-3.8762334E+00,5.32105E-01
-3.8758659E+00,5.39918E-01
-3.8754984E+00,5.46754E-01
-3.8751309E+00,5.40895E-01
-3.8747634E+00,5.24293E-01
-3.8743958E+00,5.07691E-01
-3.8740283E+00,5.03785E-01
-3.8736608E+00,5.05738E-01
-3.8732933E+00,5.20387E-01
-3.8729258E+00,5.32105E-01
-3.8725582E+00,5.37965E-01
-3.8721907E+00,5.39918E-01
-3.8718232E+00,5.26246E-01
-3.8714557E+00,5.14527E-01
-3.8710882E+00,5.02809E-01
-3.8707206E+00,5.04762E-01
-3.8703531E+00,5.15504E-01
-3.8699856E+00,5.25270E-01
-3.8696181E+00,5.38941E-01
-3.8692506E+00,5.41871E-01
-3.8688830E+00,5.39918E-01
-3.8685155E+00,5.28199E-01
-3.8681480E+00,5.13551E-01
-3.8677805E+00,5.06715E-01
-3.8674130E+00,5.09645E-01
-3.8670454E+00,5.17457E-01
-3.8666779E+00,5.34059E-01
-3.8663104E+00,5.42848E-01
-3.8659429E+00,5.43824E-01
-3.8655754E+00,5.37965E-01
-3.8652078E+00,5.18434E-01
-3.8648403E+00,5.03785E-01
-3.8644728E+00,5.02809E-01
-3.8641053E+00,5.12574E-01
-3.8637378E+00,5.19410E-01
-3.8633702E+00,5.33082E-01
-3.8630027E+00,5.38941E-01
-3.8626352E+00,5.36988E-01
-3.8622677E+00,5.26246E-01
-3.8619002E+00,5.15504E-01
-3.8615326E+00,5.03785E-01
-3.8611651E+00,5.07691E-01
-3.8607976E+00,5.15504E-01
-3.8604301E+00,5.28199E-01
-3.8600626E+00,5.40895E-01
-3.8596950E+00,5.43824E-01
-3.8593275E+00,5.42848E-01
-3.8589600E+00,5.23316E-01
-3.8585925E+00,5.08668E-01
-3.8582250E+00,5.04762E-01
-3.8578574E+00,5.13551E-01
-3.8574899E+00,5.23316E-01
-3.8571224E+00,5.36988E-01
-3.8567549E+00,5.39918E-01
-3.8563874E+00,5.45777E-01
-3.8560198E+00,5.34059E-01
-3.8556523E+00,5.17457E-01
-3.8552848E+00,5.06715E-01
-3.8549173E+00,5.05738E-01
-3.8545498E+00,5.13551E-01
-3.8541822E+00,5.21363E-01
-3.8538147E+00,5.36012E-01
-3.8534472E+00,5.39918E-01
-3.8530797E+00,5.36012E-01
-3.8527122E+00,5.25270E-01
-3.8523446E+00,5.07691E-01
-3.8519771E+00,5.03785E-01
-3.8516096E+00,5.06715E-01
-3.8512421E+00,5.20387E-01
-3.8508746E+00,5.28199E-01
-3.8505070E+00,5.38941E-01
-3.8501395E+00,5.47730E-01
-3.8497720E+00,5.36012E-01
-3.8494045E+00,5.21363E-01
-3.8490370E+00,5.11598E-01
-3.8486694E+00,5.06715E-01
-3.8483019E+00,5.08668E-01
-3.8479344E+00,5.25270E-01
-3.8475669E+00,5.36012E-01
-3.8471994E+00,5.44801E-01
-3.8468318E+00,5.44801E-01
-3.8464643E+00,5.33082E-01
-3.8460968E+00,5.15504E-01
-3.8457293E+00,5.03785E-01
-3.8453618E+00,5.02809E-01
-3.8449942E+00,5.13551E-01
-3.8446267E+00,5.26246E-01
-3.8442592E+00,5.36988E-01
-3.8438917E+00,5.39918E-01
-3.8435242E+00,5.34059E-01
-3.8431566E+00,5.22340E-01
-3.8427891E+00,5.07691E-01
-3.8424216E+00,4.96949E-01
-3.8420541E+00,5.07691E-01
-3.8416866E+00,5.21363E-01
-3.8413190E+00,5.32105E-01
