,Magnitude (Step of 0.001),N(m)
846,9.613024743,3
847,9.614024743,3
848,9.615024743,3
849,9.616024743,3
850,9.617024743,3
851,9.618024743,3
852,9.619024743,3
853,9.620024743,3
854,9.621024743,3
855,9.622024743,3
856,9.623024743,3
857,9.624024743,3
858,9.625024743,3
859,9.626024743,3
860,9.627024743,3
861,9.628024743,3
862,9.629024743,3
863,9.630024743,3
864,9.631024743,3
865,9.632024743,3
866,9.633024743,3
867,9.634024743,3
868,9.635024743,3
869,9.636024743,3
870,9.637024743,3
871,9.638024743,3
872,9.639024743,3
873,9.640024743,3
874,9.641024743,3
875,9.642024743,3
876,9.643024743,3
877,9.644024743,3
878,9.645024743,3
879,9.646024743,3
880,9.647024743,3
881,9.648024743,3
882,9.649024743,3
883,9.650024743,3
884,9.651024743,3
885,9.652024743,3
886,9.653024743,3
887,9.654024743,3
888,9.655024743,3
889,9.656024743,3
890,9.657024743,3
891,9.658024743,3
892,9.659024743,3
893,9.660024743,3
894,9.661024743,3
895,9.662024743,3
896,9.663024743,3
897,9.664024743,3
898,9.665024743,3
899,9.666024743,3
900,9.667024743,3
901,9.668024743,3
902,9.669024743,3
903,9.670024743,3
904,9.671024743,3
905,9.672024743,3
906,9.673024743,3
907,9.674024743,3
908,9.675024743,3
909,9.676024743,3
910,9.677024743,3
911,9.678024743,3
912,9.679024743,3
913,9.680024743,3
914,9.681024743,3
915,9.682024743,3
916,9.683024743,3
917,9.684024743,3
918,9.685024743,3
919,9.686024743,3
920,9.687024743,3
921,9.688024743,3
922,9.689024743,3
923,9.690024743,3
924,9.691024743,3
925,9.692024743,3
926,9.693024743,3
927,9.694024743,3
928,9.695024743,3
929,9.696024743,3
930,9.697024743,3
931,9.698024743,3
932,9.699024743,3
933,9.700024743,3
934,9.701024743,3
935,9.702024743,3
936,9.703024743,3
937,9.704024743,3
938,9.705024743,3
939,9.706024743,3
940,9.707024743,3
941,9.708024743,3
942,9.709024743,3
943,9.710024743,3
944,9.711024743,3
945,9.712024743,3
946,9.713024743,3
947,9.714024743,3
948,9.715024743,3
949,9.716024743,3
950,9.717024743,3
951,9.718024743,3
952,9.719024743,3
953,9.720024743,3
954,9.721024743,3
955,9.722024743,3
956,9.723024743,3
957,9.724024743,3
958,9.725024743,3
959,9.726024743,3
960,9.727024743,3
961,9.728024743,3
962,9.729024743,3
963,9.730024743,3
964,9.731024743,3
965,9.732024743,3
966,9.733024743,3
967,9.734024743,3
968,9.735024743,3
969,9.736024743,3
970,9.737024743,3
971,9.738024743,3
972,9.739024743,3
973,9.740024743,3
974,9.741024743,3
975,9.742024743,3
976,9.743024743,3
977,9.744024743,3
978,9.745024743,3
979,9.746024743,3
980,9.747024743,3
981,9.748024743,3
982,9.749024743,3
983,9.750024743,3
984,9.751024743,3
985,9.752024743,3
986,9.753024743,3
987,9.754024743,3
988,9.755024743,3
989,9.756024743,3
990,9.757024743,3
991,9.758024743,3
992,9.759024743,3
993,9.760024743,3
994,9.761024743,3
995,9.762024743,3
996,9.763024743,3
997,9.764024743,3
998,9.765024743,3
999,9.766024743,3
1000,9.767024743,3
1001,9.768024743,3
1002,9.769024743,3
1003,9.770024743,3
1004,9.771024743,3
1005,9.772024743,3
1006,9.773024743,3
1007,9.774024743,3
1008,9.775024743,3
1009,9.776024743,3
1010,9.777024743,3
1011,9.778024743,3
1012,9.779024743,3
1013,9.780024743,3
1014,9.781024743,3
1015,9.782024743,3
1016,9.783024743,3
1017,9.784024743,3
1018,9.785024743,3
1019,9.786024743,3
1020,9.787024743,3
1021,9.788024743,3
1022,9.789024743,3
1023,9.790024743,3
1024,9.791024743,3
1025,9.792024743,3
1026,9.793024743,3
1027,9.794024743,3
1028,9.795024743,3
1029,9.796024743,3
1030,9.797024743,3
1031,9.798024743,3
1032,9.799024743,3
1033,9.800024743,3
1034,9.801024743,3
1035,9.802024743,3
1036,9.803024743,3
1037,9.804024743,3
1038,9.805024743,3
1039,9.806024743,3
1040,9.807024743,3
1041,9.808024743,3
1042,9.809024743,3
1043,9.810024743,3
1044,9.811024743,3
1045,9.812024743,3
1046,9.813024743,3
1047,9.814024743,3
1048,9.815024743,3
1049,9.816024743,3
1050,9.817024743,3
1051,9.818024743,3
1052,9.819024743,3
1053,9.820024743,3
1054,9.821024743,3
1055,9.822024743,3
1056,9.823024743,3
1057,9.824024743,3
1058,9.825024743,3
1059,9.826024743,3
1060,9.827024743,3
1061,9.828024743,3
1062,9.829024743,3
1063,9.830024743,3
1064,9.831024743,3
1065,9.832024743,3
1066,9.833024743,3
1067,9.834024743,3
1068,9.835024743,3
1069,9.836024743,3
1070,9.837024743,3
1071,9.838024743,3
1072,9.839024743,3
1073,9.840024743,3
1074,9.841024743,3
1075,9.842024743,3
1076,9.843024743,3
1077,9.844024743,3
1078,9.845024743,3
1079,9.846024743,3
1080,9.847024743,3
1081,9.848024743,3
1082,9.849024743,3
1083,9.850024743,3
1084,9.851024743,3
1085,9.852024743,3
1086,9.853024743,3
1087,9.854024743,3
1088,9.855024743,3
1089,9.856024743,3
1090,9.857024743,3
1091,9.858024743,3
1092,9.859024743,3
1093,9.860024743,3
1094,9.861024743,3
1095,9.862024743,3
1096,9.863024743,3
1097,9.864024743,3
1098,9.865024743,3
1099,9.866024743,3
1100,9.867024743,3
1101,9.868024743,3
1102,9.869024743,3
1103,9.870024743,3
1104,9.871024743,3
1105,9.872024743,3
1106,9.873024743,3
1107,9.874024743,3
1108,9.875024743,3
1109,9.876024743,3
1110,9.877024743,3
1111,9.878024743,3
1112,9.879024743,3
1113,9.880024743,3
1114,9.881024743,3
1115,9.882024743,3
1116,9.883024743,3
1117,9.884024743,3
1118,9.885024743,4
1119,9.886024743,4
1120,9.887024743,4
1121,9.888024743,4
1122,9.889024743,4
