,x1,y1,Mean,Mean_uncer,sigma,sigma_uncer,A,A_uncer
678,800,3000,3427.089181,0.055280646,8.500747144,0.003063379,454.229877,6.528740045
679,900,3000,3431.184301,0.066265801,8.37761724,0.004416488,465.612782,10.24656941
680,1000,3000,3436.443352,0.088156954,8.741567587,0.007770636,453.4521423,15.65656436
681,1100,3000,3446.108718,0.113165468,-9.285588248,0.013000968,418.9112443,19.59138233
682,1200,3000,3463.185943,0.432221312,11.5043812,0.146056906,241.7639937,11.52127746
683,1300,3000,3482.711414,8.513416786,11.69731218,6.74385963,141.6339916,6717.071429
684,1500,3000,3492.536341,8.868764594,16.19530615,5.570832992,349.9020834,31221.49882
685,1600,3000,3454.922844,0.251752659,11.47848057,0.079477588,308.1945269,26.79436259
686,1700,3000,3437.393611,0.129003988,-9.933900949,0.016690672,387.2540365,18.97542044
687,1800,3000,3430.80546,0.078605941,8.867826091,0.006111611,412.824786,9.87256166
688,1900,3000,3426.056019,0.06981275,8.017917017,0.004875955,490.1162924,13.6740518
689,2000,3000,3421.789313,0.065526014,8.26896858,0.004293768,470.0967863,10.40806369
690,2100,3000,3419.55334,0.057034967,9.462885489,0.003243155,396.7636163,4.270019741
691,2200,3000,3417.830684,0.086379265,10.20354556,0.007473986,383.9359417,7.942027809
692,2300,3000,3416.180222,0.094691107,13.75915062,0.008966983,270.4596212,2.598368503
693,200,3100,3418.597797,0.079275276,12.32329435,0.006303196,305.6899602,2.92410687
694,300,3100,3418.247028,0.074778811,10.09838924,0.005614684,388.3290026,6.207121825
695,400,3100,3418.820158,0.066630363,8.937470237,0.004491388,435.0164329,8.049791952
696,500,3100,3421.327498,0.065713526,8.590391637,0.004319813,439.2360072,8.467797644
697,600,3100,3423.100088,0.066703492,8.479506463,0.004448208,467.1546557,10.08342591
698,700,3100,3424.709624,0.046766681,8.229235083,0.002188871,466.9424982,5.283108791
699,800,3100,3429.785982,0.076493522,8.806180846,0.00586798,429.1573508,10.46377295
700,900,3100,3431.76555,0.074297355,8.394645069,0.005512113,466.7418595,12.78202758
701,1000,3100,3438.977098,0.071518393,-8.709026721,0.005115631,454.8818745,10.46570193
702,1700,3100,3413.460006,0.862612562,-3.399659014,1.012196846,2.42033317,0.135634433
703,1800,3100,3431.333902,0.080046725,8.684007816,0.006418662,441.11727,12.40293096
